Drill Listing
=============
Drill: 11.81  Tool: 1  Feed: 95  Speed: 300
X 258543  Y 226732
X 268543  Y 226732
X 278543  Y 226732
X 238543  Y 256732
X 248543  Y 256732
X 278543  Y 256732
X 268543  Y 256732
X 258543  Y 256732
X 314742  Y 559630
X 319804  Y 553598
X 324865  Y 547566
X 288636  Y 533948
X 295064  Y 526287
X 322663  Y 512601
X 325919  Y 503146
X 328346  Y 245669
X 328346  Y 235669
X 328346  Y 225669
X 328346  Y 215669
X 338346  Y 215669
X 367716  Y 215669
X 377716  Y 215669
X 377716  Y 225669
X 338346  Y 225669
X 367716  Y 225669
X 367716  Y 235669
X 338346  Y 235669
X 377716  Y 235669
X 367716  Y 245669
X 338346  Y 245669
X 377716  Y 245669
X 361333  Y 512349
X 358770  Y 519794
X 356206  Y 527239
X 384225  Y 466753
X 392069  Y 466066
X 399914  Y 465380
X 383916  Y 430120
X 393878  Y 429249

Drill: 39.37  Tool: 6  Feed: 197  Speed: 550
X 151259  Y 125118
X 163425  Y 128110
X 130314  Y 145669
X 179330  Y 154881
X 134488  Y 158661
X 125944  Y 169606
X 124527  Y 206535
X 124527  Y 221929
X 191181  Y 201968
X 191496  Y 186141
X 191732  Y 171496

Drill: 40  Tool: 7  Feed: 139  Speed: 550
X 125944  Y 185000
X 125944  Y 195000
X 158267  Y 222047
X 158267  Y 232047
X 158267  Y 242047
X 158267  Y 252047
X 253543  Y 147244
X 253543  Y 127244

Drill: 45  Tool: 8  Feed: 139  Speed: 550
X 300472  Y 114409
X 300472  Y 129409
X 300472  Y 139409
X 340472  Y 139409
X 340472  Y 129409
X 340472  Y 114409

Drill: 78.74  Tool: 9  Feed: 81  Speed: 550
X 143307  Y 275196
X 143307  Y 397244
X 116732  Y 446456
X 166929  Y 513385
X 202362  Y 540944
X 304724  Y 540944
X 340157  Y 513385
X 363779  Y 397244
X 363779  Y 275196
X 390354  Y 446456

End of Listing
